id,edit_history_tweet_ids,author_id,text,sentiment,confidence
1991783028021158256,['1991783028021158256'],407787041,@AmazonHelp Because you are a big thief. You are a company that makes its income by unfairly seizing sellers' funds and their earnings.,negative,0.983661949634552
1991783010363142302,['1991783010363142302'],407787041,@AmazonHelp You won't let me activate my account. Amazon told me they have seized my money without any explanation. And I can't get any support from any of your teams. My account has been closed for months and they don't respond to any of my activation attempts.,negative,0.9849345684051514
1991782942436405651,['1991782942436405651'],407787041,"@AmazonHelp Your teams are so ignorant and uninformed that they don't offer any support. I'm just having a conversation with a robot. I write the question and the subject, and they give me irrelevant answers. Look, you have unfairly seized my funds.",negative,0.9890106320381165
1991782939492040861,['1991782939492040861'],1393225390177480717,"Miss kajol,

@AmazonHelp @amazonIN @amazon 

Are you still there ?

Provide an explanation in writing.",neutral,0.6399294137954712
1991782692007129378,['1991782692007129378'],1257619540881502208,"It's a breakdown of your logistics, support and reliability. And it all happened after paying you for prime membership.  Expect this to be escalated. @amazonIN @amazon @AmazonHelp",negative,0.8815317749977112
1991782684566429794,['1991782684566429794'],1257619540881502208,"@amazonIN @amazon @AmazonHelp 
Worst customer experience i have ever had with Amazon.
Placed an order to deliver at 18th nov. And follows unbelievable experience.
Delivery agent refused and  support rescheduled and second agent also refused which is supposed to be done today.",negative,0.9732868075370789
1991782595445813661,['1991782595445813661'],1393225390177480717,"@AmazonHelp @amazonIN @JeffBezos 

Need your immediate attention if , I don't get my refund as soon as possible.

Then I will be filling a consumer court in this regard.

@amazon",negative,0.7736459970474243
1991782262950814198,['1991782262950814198'],247685917,"@AmazonHelp i have order (408-0218223-8479576) an toy car from @amazonIN on 26th October, after much delay it was delivered on 18th of November, i want to return this item but its still showing that its in transit, what should i do?please help.",neutral,0.5107210874557495
1991781648682349004,['1991781648682349004'],1393225390177480717,"@AmazonHelp Mr. Jeff are you there ?

Provide training to your team members Miss kajol.

I think she is unable to handle the issues which I have been facing for 19 days.

@JeffBezos @amazonIN @AmazonHelp",negative,0.9075770974159241
1991781509838303305,['1991781509838303305'],1991770118884651008,"@AmazonHelp Thanks for your reply. The link you provided is not working. 
Please connect me to the support team. I need help for my refund issue.",negative,0.830734372138977
1991781452661551412,['1991781452661551412'],1944998459649744898,@AmazonHelp As mentioned in the dms i will wait for your email in 6-12 hours,neutral,0.8767989873886108
1991781430737957110,['1991781430737957110'],791235272612589568,@AmazonHelp I have done everything,neutral,0.7083422541618347
1991781352224747877,['1991781352224747877'],360386469,@AmazonHelp My bad I just saw an email and it seems you guys now want me to wait up to 4 business days!,negative,0.9327337145805359
1991781127569526883,['1991781127569526883'],1393225390177480717,"@AmazonHelp Very ridiculous services.

@AmazonHelp @amazonIN @JeffBezos",negative,0.9653899073600769
1991780986015961364,['1991780986015961364'],1393225390177480717,"@AmazonHelp Still facing the same issue.

Anything else you have ?",negative,0.8921148777008057
1991780967607070864,['1991780967607070864'],360386469,@AmazonHelp Hi team - have not heard anything back as yet!,negative,0.9154039621353149
1991780583702438309,['1991780583702438309'],1393225390177480717,"@AmazonHelp Again,

I tried to go through the link provided by you.

Your chat system crashed like the amazon",negative,0.9148239493370056
1991780561539748328,['1991780561539748328'],104715172,@AmazonHelp hopelessly unprofessional,negative,0.9827486872673035
1991780540274622564,['1991780540274622564'],64454233,"@gifsagar @amazonIN @AmazonHelp Yeah. Has turned to shit.
For me, one package never arrived and was marked delivered when I was at home. Another was dropped in neighbour's house. Delays are common already. Another one, a large appliance, was delayed by over a week with no movement and had to be cancelled",negative,0.9712169766426086
1991780433781231933,['1991780433781231933'],907919354,@amazonIN @AmazonHelp my order return pickup is not done after 10 days very poor service by amazon. I have received totally different product.. https://t.co/KPf9vvOsOU,negative,0.9756428003311157
1991780306941247699,['1991780306941247699'],1393225390177480717,"@AmazonHelp Your ridiculous chat system.

Never ever works

@AmazonHelp @amazonIN @JeffBezos https://t.co/WlaLtygUn3",negative,0.9806168079376221
1991780042859556939,['1991780042859556939'],48957973,@the_motonomad @amazonIN @AmazonHelp I don't know why amazon delivery has become so unpredictable. Last two parcels. One was left with guard without informing the other was left at the door without intimation. Idk why,negative,0.953474223613739
1991780001990287782,['1991780001990287782'],1393225390177480717,"@AmazonHelp @AmazonHelp @JeffBezos @amazonIN 

How many times do I have to fill ?
Kajol

Do you care ?",negative,0.5325243473052979
1991779623382970480,['1991779623382970480'],1393225390177480717,"@AmazonHelp @amazonIN @JeffBezos 

Mr. Jeff bezos are you there ?

Your amazon company should be banned for the services your team is managing in India.

I know you don't care about the issues faced by the customers everyday. 

Worst company ever tagged to be nominated to amazon",negative,0.969816267490387
1991779489215574507,['1991779489215574507'],1852267050,"@AmazonHelp This isn’t a returns issue. It’s a serious concern about product quality and what customers are being made to consume. The packet was stinking, and many eggs had worms. This needs urgent escalation beyond an automated response.",negative,0.9269920587539673
1991779389995119065,['1991779389995119065'],1878769907812167680,@AmazonHelp So now it seems my refund has been delayed. I guess this is retaliation for reaching out to support from social media.,negative,0.9406062960624695
1991779053725225138,['1991779053725225138'],1449759622995185668,"@AmazonHelp I tried, but it just stopped at a dead end. Not sure what kind of service team you have.",negative,0.962653636932373
1991778953468735985,['1991778953468735985'],543421489,@AmazonHelp Have shared the phone no and email id please do connect with me,neutral,0.8722131848335266
1991778795473498373,['1991778795473498373'],1393225390177480717,"@AmazonHelp @amazonIN @JeffBezos 

6-12 hours the timeline provided by your team abhishek.

But I have not received a single email regarding the refund status.

Is it the services we deserve?

I have paid for the orders and it's been more than 19 days not a single reply ????",negative,0.8539289832115173
1991778144819491202,['1991778144819491202'],1393225390177480717,"@AmazonHelp @AmazonHelp @amazonIN as per the timeline provided by you. I have waited and no single email or call received by your team.

Pathetic service offered by amazon nowadays. 

@JeffBezos @amazon",negative,0.6923118829727173
1991778099948843496,['1991778099948843496'],1449759622995185668,"@AmazonHelp I tried, but it just stopped at a dead end. Not sure what kind of service team you have.",negative,0.962653636932373
1991778028037501166,['1991778028037501166'],1864628125352513536,@AmazonHelp I've contacted your team and spoken to them via the link you sent. I haven't found any solution. False allegations are being made. I'm very upset.,negative,0.9720584750175476
1991777875733934478,['1991777875733934478'],1864628125352513536,"@AmazonHelp I've contacted your team and spoken to them via the link you sent. I haven't found any solution.
False allegations are being made.
I'm very upset.",negative,0.9723291397094727
1991777590554816914,['1991777590554816914'],1944998459649744898,"@AmazonHelp I am not able to raise a support ticket as the order is still showing out for delivery, i called your support they said we will contact you on 23rd what am I supposed to do , this was a birthday gift for my fiancé",negative,0.891752302646637
1991777468731257209,['1991777468731257209'],1623639640489197568,@AmazonHelp @PMOIndia @narendramodi @MoHFW_INDIA @Reuters @TOIIndiaNews @fssaiindia @fdaindia @fdciofficial @amazonIN @amazon Amazon refuses to explain how 2 products with different ingredients are same ?? That too for a medicinal product,negative,0.8346481919288635
1991777065910300807,['1991777065910300807'],1623639640489197568,"@AmazonHelp @PMOIndia @narendramodi @MoHFW_INDIA @Reuters @TOIIndiaNews @fssaiindia @fdaindia @fdciofficial @amazonIN @amazon @PMOIndia @narendramodi @MoHFW_INDIA 
Is the government going to look into the wrong medicine delivery ??
That can lead to catastrophies later harming citizens",negative,0.7967132329940796
